1 - | Kصحيح
2845 - | S [ش - (سراة) جمع سرى وهو السيد. (مستطير) أي منتشر متفرق كانه طار في نواحيها] .Kصحيح
2846 - | S [ش - (فنفلني) أي أعطاني زيادة على السهم. (قشع) فرو خلق (فما كشفت لها عن ثوب) كناية عن عمل الجماع. (لله أبوك) قال أبو البقاء هو في حكم القسم] .Kحسن
2847 - | S [ش - فظهر عليهم المسلمون) أي غلبوا عليهم.Kصحيح
2848 - | S [ش - (فأنكر الناس) أي تعجبوا من ترك الصلاة لعدم علمهم بحقيقة الحال(خرزات) الخرز ما ينظم في السلك من الجزع والودع. الحب المثقوب من الزجاج ونحوه. فصوص من حجارة الواحدة خرزة] .Kضعيف
2849 - | Kصحيح
2850 - | Zفي الزوائد في إسناده عيسى بن سنان. اختلف فيه كلام ابن معين. قال لين الحديث وليس بالقوي قيل ضعيف وقيل لا بأس به. وذكره ابن حبان في الثقات. وباقي الإسناد ثقاتS [ش - (وشنار) هو العيب والعار] .Kحسن صحيح
2851 - | Kصحيح
2852 - | S [ش - (في البدأة) أي ابتداء الغزو. وذلك بأن نهضت سرية من العسكر وابتدروا إلى العدو. في أول الغزو فغنموا فكان يعطيهم الربع. (وفي الرجعة) وإن فعل طائفة مثل ذلك حين رجوع العسكر كان يعطيهم الثلث. لضعف الظهر والفتور والشوق إلى الأوطان فزاد لذلك] .Kضعيف الإسناد
2853 - | Zفي الزوائد إسناده حسنS [ش - (قويهم على ضعيفهم) أي إذا خرج العسكر مع اإمام إلى أرض العدو ثم حارب الأقوياء فالقسمة يشترك بها الكل.Kصحيح دون الموقوف على جد عمرو
2854 - | Kصحيح
2855 - | S [ش - (خرثى المتاع) الخرثى أردأ المتاع والغنائم. (أجره) أي أجر السيف على الأرض من قصر قامتي لصغر سني.Kحسن
2856 - | Kصحيح
2857 - | Zفي الزوائد إسناده حسنS [2857 - ش - (تمثلوا بضم الثاء. وضبط من باب التفعيل أيضا. لكن التفعيل للمبالغة ولا يناسب النهي: يقال مثلث بالحيوان أمثل به مثلا إذا قطعت أطارفه وشوهت به. ومثلث بالقتيل إذا جدعت أنفه أو أذنه أو مذا كيره أو شيئا من أطرافه والاسم المثلة. (تغلوا) من الغلول وهو الخيانة في المغنم والسرقة من الغنيمة قبل القسمة. (وليدا) أي طفلا.]Kحسن صحيح
2858 - | S [2858 - ش - (أمر) جعله أميرا. (سرية) قطعة من الجيش. (ومن معه) عطف على خاصة نفسه. (خيرا) منصوب بنزع الخافض أي بخير. (ولا تغدروا) أي لا تنقضوا العهد إن وجد بينكم. (التحول) أي الهجرة. (خلال) جمع خلة. بالفتح وهي الخصلة. (أو خصال) شك من الراوي. (كف عنهم) يكون لازما بمعنى الامتناع. ويكون متعديا بمعنى المنع. فإن جعل ههنا متعديا يقدر له مفعول أي امنع القتال واحبسه عنهم. وإن كان لازما فيكون بمعنى امنع نفسك عن قتالهم(فإن أرادوك) أي أرادوا منك. (ذمة الله ... الخ) المراد بالذمة العهد(تخفروا) من أخفرت الرجل إذا نقضت عهده.Kصحيح
2859 - | S [2859 - ش - (من أطاعني فقد أطاع الله) أي لأني أحكم نيابة عنه. وكذا الإمام يحكم نيابة عن النبي صلى الله عليه وسلم فالحاصل أن طاعة النائب طاعة للأصل.Kصحيح
2860 - | S [2860 - ش - (وإن استعمل عليكم) أي ولو جعل الخليفة بعض عبيده أميرا عليكم(زبيبة) أي صغيرة قدر الزبيبة. وهذا من علامة قلة عقله وكثرة حمقه.]Kصحيح
2861 - | Kصحيح
2862 - | Kصحيح
2863 - | Zفي الزوائد إسناده صحيحS [2863 - ش - (ليصطلوا) أي ليقوا أنفسهم من البرد. (دعابة) الدعابة هي اللعب والمزاح. (بآمركم) هو من زيادة الباء في خبر ما المشبهة ب - ليس. (فتحجزوا) أي أعدوا أنفسهم للوثوب واجتمعوا لذلك.Kحسن
2864 - | S [2864 - ش - (على المرء المسلم الطاعة) أي للإمام.Kصحيح الإسناد
2865 - | Kصحيح
2866 - | S [2866 - ش - (على السمع والطاعة) صلة بايعنا متضمن معنى العهد. أي على أن نسمع كلامك ونطيعك في مرامك وكذا من يقوم مقامك من الخلفاء من بعدك. (والمنشط والمكره) مفعل من النشاط والكراهة. أي حالة انشراح صدورنا وطيب قلوبنا وما يضاد ذلك. (والأثرة علينا) اسم من الاستئثاروالمراد على الصبر على أثرة علينا. أي بايعنا على أن نصبر إن أوثر غيرنا علينا. وضمير علينا كناية عن جماعة الأنصار. (وأن لاننازع الأمر) أي الإمارة. أو كل أمر. (أهله) الضمير للأمر. أي إذا وكل الأمر إلى من هو أهله فليس لنا أن نجره إلى غيره سواء كان أهلا أم لا(لا تخاف في الله لومة لائم) أي لا تترك الحق لخوف ملامتهم عليه.Kصحيح
2867 - | Kصحيح
2868 - | Kصحيح
2869 - | S [2869 - ش - (بعنيه) كان صلى الله عليه وسلم كره أن يرده بعد وقوع المبايعة على الهجرة خائبا من الهجرة.Kصحيح
2870 - | Kصحيح
2871 - | S [2871 - ش - (تسوسهم الأنبياء) أي تتولى أمورهم كما يفعل الأمراء والولاة بالرعية. والسياسة القيام على الشيء بما يصلحه(أوفوا ببيعة الأول فالأول) أي يجب الوفاء ببعية من كان أولا في كل زمان. بيعة الثاني باطلة.]Kصحيح
2872 - | Kصحيح متواتر
2873 - | Zفي الزوائد في إسناده على بن زيد بن جدعان ضعيف.Kصحيح
2874 - | Kصحيح
2875 - | Kصحيح
2876 - | Kضعيف
2877 - | S [2877 - ش - (ضمر) التضمير هو تقليل علفها مدة وإدخالها بيتا يخلى لها لتعرق ويجف عرقها فيجف لحمها وتقوى على الجري. (الحقباء) موضع على أميال من المدينة.]Kصحيح
2878 - | S [2878 - ش - (سبق) بالفتح هو ما يجعل للسابق على سبقه من المال. وبالسكون ومصدر سبقتقال الخطابي الصحيح رواية الفتح أي لا يحل أخذ المال بالمسابقة إلا في هذين. وهما الإبل والخيل. وألحق بهما ما في معناهما من آلات الحرب. لأن في الجمل عليها ترغيبا في الجهاد وتحريضا عليه.Kصحيح
2879 - | Kصحيح
2880 - | Kصحيح
2881 - | S [2881 - ش - (قرابتنا) أي قرابة بني عبد شمس وبني المطلب واحدة. فأشار صلى الله عليه وسلم إلى أن بني المطلب مع بني هاشم كشيء واحد حيث أنهم كانوا معهم في الجاهلية والإسلام. بخلاف عبد شمس.]بسم الله الرحمن الرحيمKصحيح
2882 - | S [2882 - ش - (يمنع أحدكم نومه وطعامه وشرابه) قال النووي أي يمنع كما لها ولذيذها لما فيه من المشقة والتعب ومقاساة الحر والبرد والسرى والخوف ومفارقة الأهل والأصحاب وخشونة العيش. (نهمته) بلوغ الهمة في الشيء.]Kصحيح
2883 - | Zفي الزوائد في إسناده إسماعيل أبو خليفة أبو إسرائيل الملائي قال فيه ابن عدي عامة ما يرويه يخالف الثقات. وقال النسائي ضعيف. وقال الجرجاني مفتر زائغ. نعم قد جاء (من أراد الحج فليعجل) بسند آخر رواه الحاكم. وقال صحيح. ورواه أبو داود أيضا.Kحسن
2884 - | S [2884 - ش - (من استطاع) المشهور في إعراب من استطاع أنه بدل من الناس مخصص له.]Kضعيف
2885 - | Zفي الزوائد هذا إسناده صحيح. لأن محمد بن أبي عبيدة بن معن بن عبد الرحمن بن عبد الله بن مسعود ثقة. وأبوه مثله.Kصحيح
2886 - | Kصحيح
2887 - | Zفي الزوائد مدار الإسنادين على عاصم بن عبد الله وهو ضعيف. والمتن صحيح من حديث ابن مسعود رضي الله تعالى عنه. رواه الترمذي والنسائيS [2887 - ش - (تابعوا بين الحج والعمرة) أي أوقعوا المتابعة بينهما بأن تجعلوا كلا منهما تابعا للآخر. أي إذا حججتم فاعتمروا. وإذا اعتمرتم لحجوا. (الكير) هو كير الحداد المبنى من الطين. وقيل زق ينفخ به النار والمبنى من لطين كور. الظاهر أن المراد ههنا نفس النار على الأول ونفخها على الثاني(والخبث) بفتحتين ويروي بضم فسكون. والمراد الوسخ والردىء الخبيث.]Kصحيح
2888 - | S [2888 - ش - (العمرة إلى العمرة) قال ابن التين يحتمل أن تكون إلى بمعنى مع. أي العمرة مع العمرة. أو بمعناها متعلقة بكفارة. (والحج المبرور) قيل الأصح أنه الذي لا يخالطه إثم. مأخوذة من البر وهو الطاعة. وقيل هو القبول المقابل للبر وهو الثواب. ومن علامات القبول أن يرجع خيرا مما كان عليه ولا يعاود المعاصي. وقيل هو الذي لا يعقبه معصية.]Kصحيح
2889 - | Kصحيح
2890 - | S [2890 - ش - (رث) أي عتيق. (يساوي) يعادل. (حجة) أي اجعله حجة. أو هذه حجة والمقصود بذلك التوسل إلى القبول.]Kصحيح
2891 - | S [2891 - ش - (جؤار) في النهاية الجؤار رفع الصوت والاستغاثة. (ثنية هرشى) جبل على طريق الشام والمدينة قريب من الحجفة. (لفت) ثنية جبل قديد بين الحرمين. (خلبة) بضم الخاء وبسكون اللام وضمها الليف ولحبل الصلب الرقيق.]Kصحيح
2892 - | Zفي الزوائد في إسناده صالح بن عبد الله. قال البخاري فيه منكر الحديثS [2892 - ش - وفد الله) هم القوم يجتمعون ويردون البلاد. واحدهم وافد. وكذلك الذين يقصدون الأمراء لزيارة واسترفاد وانتجاع وغير ذلك.]Kضعيف
2893 - | Zفي الزوائد إسناده حسن. وعمرن مختلف فيه.Kحسن
2894 - | Kضعيف
2895 - | S [2895 - ش - (دعوة المرء مستجابة) بغير حج فكيف إذا كان حاجا.]Kصحيح
2896 - | S [2896 - ش - (الشعث) رجل شعث أي وسخ الجسد. (التفل) هو الذي ترك استعمال الطيب من التفل وهي الرائحة الكريهة.Kضعيف جدا لكن جملة العج والثج ثبتت في حديث آخر
2897 - | Kضعيف جدا
2898 - | S [2898 - ش - (ذو محرم) هو من لا يحل له نكاحها من الأقارب. كالأب والابن والأخ والعم وما يجري مجراهم.]Kصحيح
2899 - | Kصحيح
2900 - | S [2900 - ش - (اكتتبت) أي كتب اسمى في جملة الغزاة.Kصحيح
2901 - | Kصحيح
2902 - | Kحسن
2903 - | Kصحيح
2904 - | Zفي الزوائد إسناده صحيح. وسليمان هو ابن فيروز أبو إسحاق ثقةS [2904 - ش - (فإن لم تزده خيرا) كأنه أشار بذلك إلى أن الشيء إذا كان محتملا بين أن يكون خيرا وبين أن يكون شرا فاللائق بحال العاقل أن يفعله. ولا يتوقف في فعله على السؤال.]Kصحيح الإسناد
2905 - | Zفي الزوائد إسناده عثمان بن عطاء الخراساني ضعفه ابن معين. وقيل منكر الحديث متروك. وقال الحاكم روى عن أبيه أحادث موضوعة.Kضعيف الإسناد
2906 - | S [2906 - ش - (ولا الظعن) بفتحتين أو سكون الثاني مصدر ظعن يظعن إذا سافر. وفسر الظعن بالراحلة. أي لا يقوى على السير ولا الركوب من كبر السنقال الإمام أحمد لا أعلم في إيجاب العمرة حديثا أجود من هذا وأصح منه.]Kصحيح
2907 - | S [2907 - ش - (أفند) الفند في الأصل الكذب. وأفند تكلم بالفند. ثم قالوا للشيخ إذا هرم افند. لأنه يتكلم بالمخرف من الكلام عن سنن الصحة. وأفنده الكبر إذا أوقعه في الفند.]Kحسن الإسناد
2908 - | Zفي الزوائد في إسناده محمد بن كريب قال أحمد منكر الحديث يجيء بعجائب عن حصين بن عوف. وقال البخاري منكر الحديث فيه نظر. وضعفه غير واحدS [2908 - ش - (إلا معترضا) قيل معناه لا يثبت على الراحلة على الوجه المعهود. إنما يمكن أن يشد بحبل ونحوه بالراحلة.]Kضعيف الإسناد
2909 - | S [2909 - ش - (ردف) هو الذي تحمله خلفك على ظهر الدابة.]Kصحيح
2910 - | Kصحيح
2911 - | S [2911 - ش - (نفست) يقال نفست المرأة ونفست فهي منفوسة إذا ولدت(بالشجرة) أي بذي الحليفة وكانت هناك شجرة.]Kصحيح
2912 - | Kصحيح
2913 - | S [2913 - ش - (تستثفر) في النهاية هو أن تشد فرجها بخرقة عريضة بعد أن تحتشى قطنا وتوثق طرفيها في شيء تشده على وسطها. فتمنع بذلك سيل الدم. وهو مأخوذة من ثفر الدابة الذي يجعل تحت ذنبها.]Kصحيح
2914 - | S [2914 - ش - (من ذي الحليفة) اسم موضع قريب من المدينة. (الجحفة) كانت قرية جامعة على اثنين وثمانين ميلا من مكة. وكانت تسمى مهيعة.]Kصحيح
2915 - | Zفي الزوائد في إسناده إبراهيم الحريري. قال فيه أحمد وغيره متروك الحديث. وقيل منكر الحديث. وقيل ضعيفوأصل الحديث رواه مسلم من حديث جابر. ولم يقل ثم أقبل بوجهه. ولاذكر مهل أهل الشامS [2915 - ش - (للأفق) أي أفق المشرق. (اللهم أقبل بقلوبهم) أي أقبل بقلوب أهل المشرق إلى دينك فإن الفتن من ههنا.Kصحيح
2916 - | S [2916 - ش - (الغرز) هو ركاب كور الجمل إذا كان من جلد أو خشب. وقيل هو الكور مطلقا. مثل الركاب للسرج.]Kصحيح
2917 - | Zفي الزوائد إسناده صحيح ورجاله تفاتS [2917 - ش (ثفنات) الثفنات جمع ثفتة وهي ما ولي الأرض من كل ذات أربع إذا بركت وغلظ كالركبتين.]Kصحيح الإسناد
2918 - | S [2918 - ش - (تلقفت) أي أخذت. (لبيك) هو من التلبية. وهي إجابة المنادي. أي إجابتي لك يا ربوهو مأخوذة من لب بالمكان وألب إذا أقام به. ولم يستعمل إلا على لفظ التثنية في معنى التكرير إي إجابة بعد إجابة. وهو منصوب على المصدر بعامل لا يظهر. كأنك قلت ألب إلبابا بعد إلباب. التلبية من لبيك. كالتهليل من لا إله إلا الله. (سعديك) أي ساعدت طاعتك مساعدة بعد مساعدة وإسعادا بعد إسعاد. ولهذا ثنى. وهو من المصادر المنصوبة بفعل لا يظهر في الاستعمال. (والرغباء) من الرغبة. ومعناه الطلب والمسألة.]Kصحيح
2919 - | Kصحيح
2920 - | Kصحيح
2921 - | S [2921 - ش - (مدر) جمع مدرة. مثل قصب وقصبة. وهو التراب المتلبد. قال الأزهري المدر قطع الطين.]Kصحيح
2922 - | S [2922 - ش - (الإهلال) هو رفع الصوت بالتلبية. يقال أهل المحرم الحج يهل إهلالا إذا لي ورفع صوته.]Kصحيح
2923 - | S [2923 - ش - (شعار الحج) مناسكه وعلاماته.]Kصحيح
2924 - | S [2924 - ش - (العج) العج رفع الصوت بالتلبية. (الثج) الثج سيلان دماء الهدي والأضاحي.]Kصحيح
2925 - | Zفي الزوائد إسناده ضعيف. لضعف عاصم بن عبيد الله وعاصم بن عمر بن حفصS [ش - (يضحى) أي يبرز للشمس لأجل التقرب به إلى الله تعالى. يقال ضحيت أضحى إذا برز للشمس. ومنه قوله تعالى - إنك لا تظمأ فيها ولا تضحى -. (فعاد) أي صار(كما ولدته أمه) أي طاهرا من الذنوب كما كان طاهرا منها حين ولدته أمه.]Kضعيف
2926 - | S [2926 - ش - (قبل أن يفيض) من الإفاضة. أي قبل أن يطوف طواف الزيارة.]Kصحيح
2927 - | S [2927 - ش - (وبيص) الوبيص هو البريق. (مفارق) جمع مفرق. ومفرق الرأس وسطه. والمراد ههنا المواضع التي يفرق منها بعض الشعر عن بعض.]Kصحيح
2928 - | Kضعيف
2929 - | S [2929 - ش - (ما يلبس المحرم) أي ما يحل له لبسه. (القمص) جمع قميص. (البرانس) جمع برنس. وهو كل ثوب رأسه منه. (الجفاف) جمع خف. (الورس) نبت أصفر طيب الريح يصبغ به.]Kصحيح
2930 - | Kصحيح
2931 - | Kصحيح
2932 - | Kصحيح
2933 - | Kحسن
2934 - | S [2934 - ش - (بالأبواء) جبل بين الحرمين(بين القرنين) هما قرنا البئر المبنيان على جانبها. أو هما خشبتان في جانبي البئر لأجل البكرة.]Kصحيح
2935 - | Kضعيف
2936 - | Zفي الزوائد ليس لسعدي بنت عوف هذه عند المصنف سوى هذا الحديث. وليس لها في بقية الكتب شيء. وهذا من مسندها. وفي إسناده أبو بكر بن عند الله. ولم أر من تكلم فيه بجرح ولا بتوثيق. وباقي رجال الإسناد ثقات.Kصحيح
2937 - | Zفي الزوائد رجاله رجال الصحيح. وليس لضباعة سوى ثلاثة أحاديث. انفرد المصنف بإخراج هذا وأخرج أبو داود حديثا والنسائي آخر.Kصحيح
2938 - | Kصحيح
2939 - | Zفي الزوائد في إسناده مبارك بن حسان. وهو وإن وثقة ابن معين فقد قال النسائي ليس بالقوى وقال أبو داود منكر الحديث. وقال ابن حبان في الثقات يخطىء ويخالف. وقال الأزدي متروك. وإسماعيل ذكره ابن حبان في الثقات وباقي رجال الإسناد ثقات.Kضعيف
2940 - | Kصحيح
2941 - | Kصحيح
2942 - | S [2942 - ش - (قاسمت قريش) أي توافقوا على القسم على ثبوتهم على مقتضيات الكفر.]Kصحيح
2943 - | S [2943 - ش - (الأصيلع) تصغير الأصلع. وهو الذي أنحسر الشعر عن رأسه. وعمر كان كذلك.]Kصحيح
2944 - | S [2944 - ش - (على من يستلمه بحق) أي متلبسا بحق. وهو دين الإسلام. واستلامه بحق هو طاعة الله واتباع سنة نبيه صلى الله عليه وسلم.]Kصحيح
2945 - | Zفي الزوائد في إسناده محمد بن عون الخراساني ضعفه ابن معين وأبو حاتم وغيرهماS [2945 - ش - (تسكب تصب. (العبرات) الدموع. أي شوقا إلى الله تعالى. أو خوفا وحياء.] .Kضعيف جدا
2946 - | Kصحيح
2947 - | S [2947 - ش - (طاف على بعيره) أي راكبا عليه. (بمحجن) هو عصاة معوجة الرأس(حمامة عيدان) بالإضافة. المراد بالحمامة صورة كصورة الحمامة. وكانت من عيدان هي الطويل من النخلالواحدة عيدانة.]Kحسن
2948 - | Kصحيح
2949 - | Kصحيح
2950 - | S [2950 - ش - (رمل) الرمل إسراع المشى مع تقارب الخطا في الطواف (من الحجر إلى الحجر) أي في تمام الدور.]Kصحيح
2951 - | Kصحيح
2952 - | S [2952 - ش - (فيم الرملان) بفتحتين مصدر رمل. (أطأ) أي ثبته وأحكمه. والهمزة الأولى فيه بدل من واو وطأ.]Kحسن صحيح
2953 - | S [2953 - ش - (جلدا) جمع جلد وجليد. والجلد الصلابة. (حتى إذا بلغوا) أي رملوا من الحجر الأسود إلى الركن اليماني. لافي تمام الدورة. لأن المشركين كانوا في الجهات الثلاث فقط. وماكان منهم أحد فيما بين الركن اليماني إلى الحجر الأسود.]Kصحيح
2954 - | S [2954 - ش - (مضطبعا) الاضطباع هو إعراء منكبه الأيمن وجمع الرداء على الأيسر.]Kحسن
2955 - | S [2955 - ش - (إلا بسلم) أي بمصعد يرتقى عليه.Kصحيح
2956 - | Kصحيح
2957 - | Zفي الزوائد يدل على أن الحديث من الزوائد. إلا أنه ما تكلم على إسنادهوقال السندي بعد ذكر ما تقدم زذكر الدميري ما يدل على أنه حديث غير محفوظS [2957 - ش - فاوضه) أي قابله بوجهه. (خاض في الرحمة برجليه) أي كأن رجليه في الرحمة فقط دون سائر جسده. بخلاف من يذكر الله تعالى في تلك الحالة فأنه في الرحمة بتمام جسده.]Kضعيف
2958 - | Kضعيف
2959 - | Kصحيح
2960 - | Kصحيح
2961 - | Kصحيح
2962 - | Kحسن
2963 - | S [2963 - ش - (لانرى إلا الحج) أي المقصورد الأصلي من الخروج ماكان إلا الحج. وما وقع الخروج إلا لأجله. (أنفست) كعلمت أي حضت.Kصحيح
2964 - | Kصحيح
2965 - | Kصحيح
2966 - | Zفي الزوائد إسناد حديث جابر صحيح.Kصحيح
2967 - | Zفي الزوائد في إسناده القاسم بن عبد الله وهو متروك. وكذبه أحمد بن حنبل ونسبه إلى الوضع.Kضعيف الإسناد
2968 - | Kصحيح
2969 - | Kصحيح
2970 - | Kصحيح
2971 - | Zفي الزوائد في إسناده حجاج بن أرطاة ضعيف ومدلس. زقد رواه بالعنعنة.Kصحيح
2972 - | Zفي الزوائد في إسناد المصنف ليث بن أبي سليم وهو ضعيف ومدلس. الحديث عن غير ابن عباس ذكره غير المنصف أيضا.Kصحيح لغيره
2973 - | Kصحيح
2974 - | Kصحيح
2975 - | Kصحيح
2976 - | Kصحيح
2977 - | S [2977 - ش - (ألا إن العمرة قد دخلت في الحج) من لم يقل بوجوب بالعمرة يقول إنه سقط افتراضها بالحج. فكأنها دخلت فيه. ومن يقول به يقول إن خصال العمرة دخلت في أفعال الحج. فلا يجب على القارن إلا إحرام واحد. وطواف واحد. وطواف واحد. وهكذا. وأنها دخلت في وقت الحج وشهوره. وبطل ماكان عليه الجاهلية ومن عدم العمرة في أشهر الحج.]Kصحيح
2978 - | S [2978 - ش - (لعل الله أن ينفعك به بعد اليوم) كلمة أن زائدة في خبر لعل لمشابهته بعسى. والمراد لعلك تعمل بعد وفاة عمر.]Kصحيح
2979 - | S [2979 - ش - (رويدك) أي أخره. (معرسين) المراد بذلك وطء النساء إلى حين عرفات.]Kصحيح
2980 - | S [2980 - ش - (فقلنا ما بيننا) أي فيما بيننا أي في جملة تذاكرنا فيما بيننا. (ومذاكيرنا الخ. .) يريد قرب العهد بالجماع. (بل لأبد الأبد) أي لآخر الدهر.]Kصحيح
2981 - | Kصحيح
2982 - | Zفي الزوائد رجال إسناده ثقات. إلا أن فيه أبا إسحاق. واسمه عمرو بن عبد الله. وقد اختلط بأخرة. ولم يتبين حال ابن عياش. هل روى قبل الاختلاط أو بعده فيتوقف حديثه حتى يتبين حالهS [2982 - ش - (فردوا عليه القول) كأنه غلب عليهم حب الموافقة ورأوه أنه على إحرامه. فذكر حاله ذلك رجاء ان يبقيهم على الإحرام. ومارأوا بذلك الرد عليه. حاشاهم عن ذلك.]Kضعيف
2983 - | Kصحيح
2984 - | Zقال أحمد حديث بلال بن الحارث عندي غير ثابت. ولا أقول به. ولا نعرف هذا الرجل يعني الحارث ابن بلال. وقال رأيت لو عرف الحارث بن بلال إلا أن أحد عشر رجلا من أصحاب النبي صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ يروون ما يروون من الفسخ أين يقوم الحارث بن بلال منهم؟ .Kضعيف
2985 - | Kصحيح
2986 - | S [2986 - ش - (أن لا أطوف) أي في إن لا أطوف. بتقدير حرف الجر في.]Kصحيح
2987 - | S [2987 - ش - (إلا شدا) أي عدوا.]Kصحيح
2988 - | Kصحيح
2989 - | Zفي الزوائد في إسناده ابن قيس المعروف بمندل ضعفه أحمد وابن معين وغيرهم. والحسن أيضا ضعيف.Kضعيف
2990 - | Kصحيح
2991 - | S [2991 - ش - (تعدل حجة) أي في الثواب لا في إجزائها عن حجة الإسلام.]Kصحيح
2992 - | Zفي الزوائد حديث بن خنبش إسناده الطريقة الأولى من طريق صحيح وإسناده الطريق الثاني ضعيف لضعف داود بن يزيد.Kصحيح
2993 - | Kصحيح
2994 - | Kصحيح
2995 - | Kصحيح
2996 - | Zفي الزوائد إسناده حديث ابن عباس ضعيف لضعف محمد بن عبد الرحمن بن أبي ليلى.Kصحيح
2997 - | Kصحيح
2998 - | Kصحيح
2999 - | S [2999 - ش - (أن يردف عائشة) من أردف غيره إذا جعله رديفا له. (فيعمرها) من أعمر غيره إذا أعانه على أجاء العمرة. (التنعيم) موضع على ثلاثة أميال من مكة.]Kصحيح
3000 - | S [3000 - ش - (نوافي هلال ذي الحجة) أي نقاربه. (فلولا إني أهديت) أي لولا معي هديي. (لأهللت بعمرة) أي خالصة. لكن الهدى يمنع الإهلال قبل الحج كالقرآن. فالأولى لصاحبه أن يجعل نسكه قرانا. (دعى عمرتك) أي اتركيها واقضيها بعد. وقال الشافعي اس اتركي العمل للعمرة من الطواف والسعي. لا أنها تترك العمرة أصلا. إنما أمرها ان تدخل الحج على العمرة فتكون قارنة. وعلى هذا يكون عمرتها من التنعيم تطوعا. ولاقضاء عن واجب. ولكن أراد أن يطيب نفسها فأعمرها. وكانت قد سألته ذلك. (وانقضى رأسك وامتشطي) لعل المراد بذلك هو الاغتسال لإحرام الحج.]Kصحيح
3001 - | Kضعيف
3002 - | Kضعيف
3003 - | Kصحيح
3004 - | Kصحيح
3005 - | Zفي الزوائد إسناد حديث ابن عمر فيه عبد الله بن عمر وهو ضعيف.Kحسن لغيره
3006 - | Kضعيف
3007 - | Kضعيف
3008 - | S [3008 - ش - (فمنا من يكبر) الظاهر أنهم كانوا يجمعون بين التلبية والتكبير. فمرة يكبر هؤلاء ويلبي آخرون. ومرة بالعكس. لا أن بعضهم يلبي فقط وبعضهم يكبر فقط.]Kصحيح
3009 - | S [3009 - ش - (في وادي نمرة) قال في النهاية نمرة هو الجبل الذي عليه أنصاب الحرم بعرفات.]Kحسن
3010 - | Kصحيح
3011 - | Kصحيح
3012 - | Kصحيح دون قوله إلا ما وراء العقبة
3013 - | Zفي الزوائد في إسناده عبد الله بن كتانة قال البخاري لم يصح حديثه. ولم أر من تكلم فيه بجرح ولا توثيق.Kضعيف
3014 - | S [3014 - ش - (مامن يوم أكثر من أن يعتق الله) أكثر جاء بالنصب على أنه خبر ما العاملة على لغة أهل الحجاز. وبالرفع على إبطال عمل ما. وعلى الوجهين أن يعتق فاعل اسم التفضيل. ويحتمل على تقدير الرفع أن يجعل أن يعتق مبتدأ. خبره أكثر. والجملة خبر ما.]Kصحيح
3015 - | S [3015 - ش - (الحج عرفة) قيل التقدير معظم الحج وقوف يوم عرفة. وقيل إدراك الحج إدراكه وقوف يوم عرفة. والمقصود أن إدراك الحج يتوقف على إدراك الوقوف بعرفة. وأن من أدركه فقد أمن حجه من الفوات(جمع) اسم للمزدلفة لاجتماع الناس بها. (فقد تم حجه) أي أمن من الفوت. وإلا فلابد من الطواف. (أيام منى ثلاثة) أي سوى يوم النحر. وإنما لم يعد يوم النحر من أيام منى لأنه ليس مخصوصا بمنى بل فيه مناسك كثيرة. (ينادي بهن) أي بهذه الأحكام أو الجمل أو الكلمات.]Kصحيح
3016 - | S [3016 - ش - (إني أنضيت راحلتي) في الصحاح النضو البعير المهزول. والناقة نضوة. وقد أنضتها الأسفار(إن تركت) أي ما تركت. (جبل) هو المستطيل في الرمل. (قضى تفثه) في الكشاف قضاء التفث قص الشارب والأظفار ونتف الإبط والاستحداد. والتفث الوسخ. والمراد قضاء إزالة التفث.]Kصحيح
3017 - | S [3017 - ش - (كان يسير العنق) العنق سير سريع معتدل. (فجوة) الموضع المتسع بين شيئين. (نص) أي حرك الناقة يستخرج أقصى سيرها.Kصحيح
3018 - | Zفي الزوائد هذا إسناد صحيح. رجاله ثقات. وقال الحديث موقوف ولكن حكمه الرفع لأنه في شأن نزولهS [3018 - ش - (قواطن البيت) أي مقيمون عنده من حيث أفاض الناس أي من عرفات.]Kصحيح
3019 - | S [3019 - (أفضت) أي نزلت من عرفات. (الشعب) الطريق المعهود للحاج نزل فيه صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ(قلت الصلاة) أي صل الصلاة. (لم يحل) أي لم يفك ماعلى الجمال من الأدوات.]Kصحيح
3020 - | Kصحيح
3021 - | S [3021 - ش - (فلما أنخنا) من الإناخة. أي أنخنا المطايا أي أبركناها جعلناها تبرك(الصلاة بإقامة) أي ينبغي أداؤها وفعلها بإقامة.]Kصحيح
3022 - | S [3022 - ش - (أشرق) أمر من أشرق إذا دخل في شروق الشمس. (ثبير) جبل بالمزدلفة على يسار الذاهب إلى منى وهو منادى مبني على الضم. (كيما نغير) أي نذهب سريعا. يقال أغار يغير إذا أسرع في العدو. وقيل. أراد أن نغير على لحوم الأضاحي. من الإغارة والنهب.]Kصحيح
3023 - | S [3023 - ش - (حصى الخذف) هو الرمي بالأصابع. والمقصود بيان صغر الحصى. (وأوضع) وضع البعير وغيره. أسرع في سيره. وأوضعه راكبه أي جعله يسرع ويجرى. (وادي محسر) موضع معلوم.]Kصحيح
3024 - | Zفي الزوائد هذا إسناد ضعيف. أبو سلمة هذا لا يعرف اسمه. وهو مجهولS [3024 - ش - (أسكت الناس أو أنصت الناس) أسكت من الإسكات. وأنصت من الإنصات وهو شك أي أمرهم بالسكوت للاستماع. (تطول عليكم) أي تفضل.]Kصحيح
