hadithnumber,arabicnumber,text,book,hadith,Abu Ghuddah,Al-Albani,Zubair Ali Zai
643,643,"Avn b. Ebi Cuhayfe babasından aktararak şöyle diyor: Rasûlüllah (sallallahü aleyhi ve sellem)’in yanına gelmiştim. Bu arada Bilal kalkıp ezan okumaya başladı. Ezanı okurken sağa sola şöyle dönüyordu. (Dârimi, Salat: 8; Tirmizî, Salat:)",7,18,Sahih,Sahih,Sahih - Agreed Upon
644,644,"Abdurrahman b. Abdullah b. Abdurrahman b. ebi Sa’saal (radıyallahü anh)’den, Sârîelmâzinî babasından aktararak şöyle diyor: Ebû Said el Hudrî ona şöyle söylemiş: ki çöl hayatını ve koyunlarını çok seviyorsun. Çölde ve koyunlarının yanında iken ve namaz için ezan okuyacağında sesini yükselt çünkü ezan okuyan kimsenin sesinin ulaştığı yere kadar o sesi işiten cin, insan ve her şey kıyamet günü müezzinin lehine şahitlik yaparlar.) Ebû Said diyor ki: ben, Rasûlüllah (sallallahü aleyhi ve sellem)’den aynen bu şekilde işittim. ) (İbn Mâce, Ezan: 5; Ebû Dâvûd, Salat:)",7,19,Sahih,Sahih,Sahih Bukhari
645,645,"Ebû Yahya (radıyallahü anh), Ebû Hureyre‘den işitmiş, Ebû Hureyre,de Peygamber (sallallahü aleyhi ve sellem)’in bizzat ağzından şöyle derken işitmiştir: sesinin ulaştığı yere kadar veya sesinin gürlüğü nisbetince günahları affedilir. Yaş kuru ne varsa sesinin ulaştığı yere kadar ona her şey şahitlik yapar.) (Ebû Dâvûd, Salat: 31; İbn Mâce, Ezan:)",7,20,Sahih,Sahih,Isnaad Hasan
646,646,"Bera b. Âzib (radıyallahü anh)’ten rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdular: ve Melekleri ilk saftaki kimseleri tebrik ederler. Müezzin ise sesinin gür oluşu nispetinde günahları affedilir. Yaş, kuru, canlı, cansız ne varsa müezzinin sesini duyan her şey ve herkes müezzinin söylediklerini tasdik ederler. Müezzinle birlikte namaz kılanların sevabı kadar sevap müezzine yazılır.) (Ebû Dâvûd, Salat: 31; İbn Mâce, Ezan:)",7,21,Sahih,Sahih,Daif
647,647,,7,22,Sahih,Sahih,Daif
648,648,,7,23,,Daif,Daif
649,649,,7,24,Sahih Isnaad,Sahih Isnaad,Hasan
650,650,,7,25,Sahih Isnaad,Sahih Isnaad,Sahih
651,651,,7,26,,Daif,
652,652,,7,27,Sahih Isnaad,Sahih Isnaad,Isnaad Sahih
653,653,,7,28,Sahih Isnaad,Sahih Isnaad,Daif
654,654,,7,29,Sahih,Sahih,Sahih - Agreed Upon
655,655,"Câbir b. Abdullah (radıyallahü anh)‘dan rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem), Hac için yola çıktı. Arafat bölgesine gelince, Nemire denilen yerde kendisi için bir çadır hazırlandığını gördü ve orada konakladı. Güneş batıya doğru kayınca, kasva isimli devesini hazırlattı ve Batn-ı Nahle Vadi’sine doğru yürüdü. ve orada insanlara bir konuşma yaptı. Sonra Bilal ezan okudu ve kamet getirdi. Rasûlüllah (sallallahü aleyhi ve sellem) öğle namazını kıldırdı sonra tekrar kamet getirdi, ikindi namazını kıldırdı ve ikisi arasında hiçbir namaz kılmadı.) (Dârimi, Menasik: 51; İbn Mâce, Menasik:)",7,30,Sahih,Sahih,Sahih
656,656,"Câbir b. Abdullah (radıyallahü anh)’tan rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem), Müzdelife’ye gelince devesini çöktürdü ve orada insanlara bir ezan ve iki kametle akşam ve yatsı namazlarını birlikte kıldırdı ve ikisi arasında da hiçbir namaz kılmadı.) (Sadece Nesâi rivâyet etmiştir)",7,31,Sahih,Sahih,Sahih Muslim
657,657,"İbn Ömer (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Said b. Cübeyr ile birlikte Müzdelife’de idik. İbn Ömer, ezan okutup kamet getirtti ve bize akşam namazını kıldırdı. Sonra namaza diyerek yatsı namazını iki rekat olarak kıldırdı. Said b. Cübeyr: ne namazıdır?) diye sordu. İbn Ömer şöyle dedi: Rasûlüllah (sallallahü aleyhi ve sellem) ile birlikte aynı yerde, namazı böyle kıldım.) (Dârimi, Menasik: 51; İbn Mâce, Menasik:)",7,32,Sahih,Sahih,Sahih
658,658,"Said b. Cübeyr (radıyallahü anh) akşam ve yatsı namazını Müzdelife’de tek kametle kılmıştı ve İbn Ömer’in de böyle yaptığını haber vermişti İbn Ömer’de, Rasûlüllah (sallallahü aleyhi ve sellem)’in aynı şekilde yaptığını haber vermişti. (Dârimi, Menasik: 51; Muvatta', Hac:)",7,33,Shadh,Shadh,Sahih
659,659,"İbn Ömer (radıyallahü anh)’den rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem)’le birlikte Müzdelife’de iki vakti bir arada ve tek kametle kılmıştık.) (Dârimi, Menasik: 51; Muvatta', Hac:)",7,34,Shadh,Shadh,Sahih
660,660,"Sâlim (radıyallahü anh)’in babasından rivâyete göre: sallallahü aleyhi ve sellem), Müzdelife’de bir kametle iki namazı bir arada kıldı ve bu namazların ne önünde ne de sonunda hiçbir nafile (sünnet) namaz da kılmadı.) (Dârimi, Menasik: 51; Muvatta', Hac:)",7,35,Sahih,Sahih,Sahih Bukhari
661,661,"Ebû Said (radıyallahü anh), babasından aktararak diyor ki: savaşında müşrikler, Peygamber (sallallahü aleyhi ve sellem) ve İslâm ordusuna çok zorlu anlar yaşatmışlardı. Rasûlüllah (sallallahü aleyhi ve sellem) ve Müslümanlar öğle, ikindi ve akşam namazını kılamamışlar ve gün batmıştı. Rasûlüllah (sallallahü aleyhi ve sellem) Bilal’e emretti, o da kamet getirdi, normal vaktinde kılındığı şekliyle öğle namazını kıldırdı sonra yine kamet getirdi yine normal vaktinde kılındığı şekliyle tekrar ikindi namazını kıldırdı sonra akşam namazı için ezan okundu ve kendi vaktinde kılındığı şekliyle akşam namazını kıldırdı.) (Tirmizî, Salat: 132; Müsned:)",7,36,Sahih,Sahih,Isnaad Sahih
662,662,"Abdullah b. Mes’ud (radıyallahü anh)’tan rivâyete göre: Müşrikler, Hendek savaşında Rasûlüllah (sallallahü aleyhi ve sellem)’i aşırı derece meşgul ettiklerinden dolayı arka arkaya dört vakit namazı savaş esnasında kılmamışlardı. Yatsı vakti Bilal’e emretti, ezan okudu sonra kamet getirdi, öğle kılındı sonra kamet etti, ikindi kılındı, sonra kamet getirildi akşam kılındı, sonra da yine kamet getirilerek yatsı namazı kılındı.) (Tirmizî, Salat:)",7,37,Sahih Lighairihi,Sahih,Daif
663,663,"Abdullah b. Mes’ud (radıyallahü anh)’tan rivâyete göre, şöyle demiştir: savaşta müşrikler bizi o derece sıkıştırmışlardı ki öğle, ikindi, akşam ve yatsı namazlarını vaktinde kılamamıştık. Müşrikler bırakıp gidince, Rasûlüllah (sallallahü aleyhi ve sellem); bir kimseye öğle namazı için kamet etmesini emretti ve öğle namazını kıldık, ikindi için kamet etti ikindi namazını kıldık, akşam namazı için kamet getirdi onu da kıldık, sonra yatsı namazı için kamet getirildi ve yatsıyı kıldık. Sonra etrafımızda dönüp: şu anda sizden başka Allah’ı zikreden bir topluluk yoktur) buyurdu. (Tirmizî, Salat:)",7,38,Daif,Daif,Daif
664,664,"Muaviye b. Hudeyc (radıyallahü anh)’ten rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) namaz kıldırıyordu, bir rekat daha kılması gerekirken selâm verdi. Rasûlüllah (sallallahü aleyhi ve sellem)’in yanına bir kişi varıp bir rekat unuttunuz dedi. Bunun üzerine Peygamber (sallallahü aleyhi ve sellem), mescide giderek Bilal’e kamet getirmesini emretti, böylece unutulan o bir rekatı kıldırdı. Bunu anlattığım zaman bana: (sallallahü aleyhi ve sellem)’e hatırlatan o adamın kim olduğunu biliyor musun?) dediler. (Görsem tanırım) diye cevap verdim. Biraz sonra o kimse yanıma uğramıştı, (İşte bu idi) dedim. Oradakiler de: Talha b. Ubeydullah’tır) diye cevap verdiler. (Ebû Dâvûd, Salat: 2; Müsned:)",7,39,Sahih,Sahih,Isnaad Sahih
665,665,"Abdullah b. Rübeya (radıyallahü anh), bir seferinde Rasûlüllah (sallallahü aleyhi ve sellem) ile birlikte bir kimsenin ezan okuduğunu duydular ve o ezan okuyanın söylediklerini aynen söylediler ve şöyle buyurdular: Bu ezan ya bir koyun çobanının veya evinden bucağından uzak düşmüş birinin ezanıdır. Baktılar ki bir koyun çobanının ezanı imiş. (Sadece Nesâi rivâyet etmiştir)",7,40,Sahih Isnaad,Sahih Isnaad,Sahih
666,666,"Ukbe b. Amir (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem)’den işittim şöyle diyordu: dağ başında ezan okuyup namaz kılan çobanın bu durumundan razı olur ve şöyle buyurur: şu kuluma! Benim azabımdan korkarak ezan okuyup namaz kılıyor. Ben bu kulumu affedip Cennet’ime sokacağım.) (Müslim, Salat: 5; Ebû Dâvûd, Salat:)",7,41,Sahih,Sahih,Isnaad Sahih
667,667,"Rıfaa b. Rafi (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem), mescidde oturuyordu, biz de çevresinde idik…) (Bu hadis ileride değişik konularda tekrar gelecektir.) (Ebû Dâvûd, Salat: 29; Dârimi, Salat:)",7,42,Sahih,Sahih,Isnaad Sahih
668,668,"Şu’be (radıyallahü anh)’den rivâyete göre, İbn Ömer’e ezandan sordum bana şunları anlattı: Rasûlüllah (sallallahü aleyhi ve sellem) zamanında ezandaki cümleler ikişer ikişer tekrar edilir kametteki cümleler ise birer birer tekrar edilirdi. (Kad kamet-is Salat) cümlesinin ikişer sefer söylendiğini işitince abdest alır namaz için evlerimizden çıkardık. (Ebû Dâvûd, Salat: 29; Dârimi, Salat:)",7,43,Sahih,Sahih,Sahih
669,669,"Mâlik b. Huveyris (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem), bana ve yanımdaki arkadaşıma şöyle buyurdu: vakti gelince ezan okuyun sonra kamet getirin ve ikinizden biri imam olsun.) (Buhârî, Ezan: 18; Tirmizî, Salat:)",7,44,Sahih,Sahih,Sahih
670,670,"Ebû Hüreyre (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: okunduğu zaman şeytan, ezan sesini işitmemek için hızlı bir şekilde yellenerek kaçar. Ezan bittikten sonra tekrar gelip vesvese vermeye başlar. Kamet edilmeye başlayınca tekrar kaçar, kamet bitince tekrar geri döner, kişinin kalbine vesvese vermeye çalışır ve kişinin aklına gelmeyen şeyleri hatırlatmak için; Şu meseleyi hatırla… şu meseleyi aklına koy… der. Namazdaki kimseyle o derece uğraşır ki kişi ne kadar namaz kıldığının farkına varamaz ve namazını eksik kılar, şaşırıp kalır.) (Dârimi, Salat: 11; Muvatta', Salat:)",7,45,Sahih,Sahih,Sahih Bukhari
671,671,"Ebû Hüreyre (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: ezan okumaktaki ve ilk saftaki namaz kılmanın sevabını bir bilselerdi ve bunun içinde kur’a çekmekten başka çare bulamasalar mutlaka kur’a çekme yoluna giderlerdi. Yine insanlar her namazın ilk vaktinde olan değer ve kıymetini bilmiş olsalardı ona ulaşmak için mutlaka yarış ederlerdi. Yine insanlar yatsı ve sabah namazlarındaki sevabı bilselerdi bu iki namaza gelmek için sürünerek de olsa gelmeyi tercih ederlerdi.) (Buhârî, Ezan: 9; Dârimi, Salat:)",7,46,Sahih,Sahih,Sahih
672,672,"Osman b. ebil As (radıyallahü anh)’tan rivâyet edildiğine göre, şöyle demiştir: Allah’ın Rasûlü! Beni kavmime imam tayin et) dedim de şöyle buyurdu: onların imamısın, aralarında zayıf olan kimselere uy ve okuduğu ezandan ücret almayan bir müezzin tut.) (Tirmizî, Salat: 155; Ebû Dâvûd, Salat:)",7,47,Sahih,Sahih,Isnaad Sahih
673,673,"Ebû Said el Hudri (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: işittiğiniz zaman müezzinin söylediklerini aynen tekrar edin.) (Ebû Dâvûd, Salat: 36; Tirmizî, Salat:)",7,48,Sahih,Sahih,Sahih - Agreed Upon
674,674,"Ebû Hüreyre (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) ile birlikte oturuyorduk, Bilal kalkıp ezan okumaya başladı. Ezanı bitirince Rasûlüllah (sallallahü aleyhi ve sellem): müezzinin söylediklerini bilerek ve inanarak tekrar ederse Cennet’e girer) buyurdu. (Müsned:)",7,49,Hasan,Hasan,Isnaad Hasan
675,675,"Mücemma b. Yahya el Ensari (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Ebû Umâme Sehl b. Huneyf’in yanında oturuyordum, o anda müezzin ezan okumaya başladı ve iki defa (Allahü ekber) dedi. Ebû Umâme’de iki defa tekbir getirdi. Müezzin: en lâ ilâhe illallah dedi o da aynı sözleri iki defa tekrar etti. Sonra müezzin Eşhedü enne Muhammeden Rasûlüllâh) deyince o da aynen iki sefer tekrar etti ve şöyle dedi: Muaviye b. ebi Süfyan, Rasûlüllah (sallallahü aleyhi ve sellem)’in böyle yaptığını bana haber vermişti. (Buhârî, Ezan: 7; Dârimi, Salat:)",7,50,Sahih,Sahih,Sahih
676,676,,7,51,-,,Sahih
677,677,"Alkame b. Vakkas (radıyallahü anh)’den rivâyete göre, şöyle demiştir: yanında oturuyordum, Müezzini ezan okumaya başlayınca o da, müezzinin ezanda okuduklarını aynen söylemeye başladı. Müezzin: alessalâh) deyince, Muaviye (Lâ havle velâ kuvvete illa billah) dedi. Yine müezzin (Hayye alel felâh) deyince, Muaviye yine: havle velâ kuvvete illa billah) dedi. Bundan sonra da müezzinin söylediklerini aynen tekrar etti sonra da: Rasûlüllah (sallallahü aleyhi ve sellem)’in böyle söylediğini işitmiştim dedi. (Buhârî, Ezan: 7; Dârimi, Salat:)",7,52,Hasan,Hasan,Sahih
678,678,"Abdullah b. Amr (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem)’den işittim şöyle diyordu: ezan okuduğunu işittiğiniz zaman onun söylediklerini aynen tekrar ediniz ve salevat getiriniz. Kim bana bir defa salevat getirirse, Allah-ü Teâlâ ona on defa rahmet ve lutfuyla muamele eder sonra benim için Allah’tan vesileyi -ki bu makam sadece benim için istenir- isteyin. O makam Cennet’te bir makam olup ona Allah’ın kullarından sadece bir kul kavuşabilecektir. O kimsenin de ben olacağımı ümid ediyorum. Kim benim için Allah’tan o vesileyi isterse, o kimse şefaatime hak kazanır.) (Ebû Dâvûd, Salat: 36; Tirmizî, Salat:)",7,53,Sahih,Sahih,Sahih Muslim
679,679,"Sa’d b. ebi Vakkas (radıyallahü anh)’tan rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: Müezzinin ezan okuduğunu işiten birisi: de Allah’tan başka gerçek ilâh olmadığına, Onun tek olduğuna ve ortağı bulunmadığına; Muhammed (sallallahü aleyhi ve sellem)’in de O’nun kulu ve Rasûlü olduğuna şahitlik ederim. Rab olarak Allah’tan, Peygamber olarak Muhammed (sallallahü aleyhi ve sellem)’ten, din olarak ta İslâm’dan razıyım ben (derse, o kimsenin günahları bağışlanır.) (Ebû Dâvûd, Salat: 36; Buhârî, Ezan)",7,54,Sahih,Sahih,Sahih Bukhari
680,680,"Câbir (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: kim ezan okunduğunu işitir de: şu tam ve mükemmel davetin ve dinimi ayakta tutacak namazın Rabbi olan Allah’ım! Peygamberimiz (sallallahü aleyhi ve sellem)’e Cennet’te vaad ettiğin övgüye layık en yüce makam ve en büyük dereceleri ver.) Diye dua ederse kıyamet günü şefaatime nail olur.) (Ebû Dâvûd, Salat: 36; Buhârî, Ezan)",7,55,Sahih,Sahih,Sahih Bukhari
681,681,"Abdullah b. Muğaffel (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: ezanla kamet arasında kılınması gereken bir namaz vardır, her ezanla kamet arasında kılınması gereken bir namaz vardır, dileyen kimse için her ezanla kamet arasında kılınması gereken bir namaz vardır.) (Buhârî, Ezan: 14; Müslim, Salat-ül Müsafirin:)",7,56,Sahih,Sahih,Sahih - Agreed Upon
682,682,"Enes b. Mâlik (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Müezzin ezan okuduğu vakit, insanlar mescidin direkleri arasında namaz kılmak için adeta yarış ederlerdi. Onlar bu durumdayken, Rasûlüllah (sallallahü aleyhi ve sellem) onların yanına çıkardı. Akşam namazından önce de bu şekilde namaz kılarlardı oysa bu vakitte ezanla kamet arasında vakit çok ta fazla değildi. (Müslim, Salat-ül Müsafirin: 9; Buhârî, Ezan:)",7,57,Sahih,Sahih,Sahih Bukhari
683,683,"Eş’aş b. ebi’ş Şa’sa (radıyallahü anh), babasından naklederek diyor ki: ezan okunduktan sonra mescidden çıkmak isteyen birinin yolunu Ebû Hüreyre kesmişti ve şöyle demişti: adam Ebû’l Kasım (Muhammed (sallallahü aleyhi ve sellem)’e) isyan etmiştir.) (Tirmizî, Salat: 150; Dârimi, Salat:)",7,58,Sahih,Sahih,Sahih Muslim
684,684,"Ebû’ş Şa’sa (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Bir adam ezan okunduktan sonra mescidden çıkmıştı da Ebû Hüreyre o kimse için şöyle demişti: adam Ebû’l Kasım (Muhammed (sallallahü aleyhi ve sellem)’e) isyan etmiştir.) (Tirmizî, Salat: 150; Dârimi, Salat:)",7,59,Sahih,Sahih,Isnaad Sahih
685,685,"Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem), yatsı namazından sonra sabah namazına kadar on bir rekat namaz kılardı, her iki rekatta bir selâm verirdi sonra da tek rekat kılarak kıldığı namazları tek hale getirirdi. Bu kıldığı namazların secdelerinde sizin elli ayet okuyacağınız kadar dururdu. Sonra secdeden başını kaldırırdı. Müezzin sabah ezanını bitirip de şafak attığını görünce kısa iki rekat namaz kılar. Sonra müezzin kamet getirip kendisini çağırıncaya kadar sağ yanı üzerine uzanırdı. Müezzin gelip kamet edeceğinde de onunla birlikte namaz için mescide çıkardı.) (Bazı raviler bu hadiste bazı ilaveler yapmışlardır.) (Buhârî, Vitir: 1; Müslim, Salat-ül Müsafirin:)",7,60,Sahih,Sahih,Sahih - Agreed Upon
686,686,"İbn Abbâs (radıyallahü anh)’ın azadlısı Küreyb anlatıyor: İbn Abbâs’a Rasûlüllah (sallallahü aleyhi ve sellem)’in gece ne kadar ve nasıl namaz kıldığından sormuştum. O da: sallallahü aleyhi ve sellem), geceleyin on bir rekat namaz kıldığını sonra yatıp derin bir uykuya daldığını hatta horladığını, Bilalin gelip: vakti geldi Ey Allah’ın Rasûlü) dediğinde iki rekat namaz kılıp abdest almadan insanlara imam olduğunu bize haber vermişti.) (Buhârî, Vitir: 1; Müslim, Salat-ül Müsafirin:)",7,61,Sahih,Sahih,Sahih - Agreed Upon
687,687,"Abdullah b. Ebû Katade (radıyallahü anh), babasından naklediyor ve şöyle diyor: Rasûlüllah (sallallahü aleyhi ve sellem): vakti gelince veya kamet getirilince, benim mescide çıktığımı görünceye kadar namaz için kalkmayın) buyurdu. (Müslim, Mesacid: 52; Buhârî, Cuma:)",7,62,Sahih,Sahih,Sahih - Agreed Upon
688,688,"Amr b. Abese (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurmuştur: içersinde Allah’ın isminin anılacağı bir mescid yaptırırsa, Allah’ta onun için Cennette bir ev yapar.) (Buhârî, Salat: 65; Müsned:)",8,1,Sahih,Sahih,Sahih
689,689,"Enes (radıyallahü anh)‘den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: mescid yaptırma konusunda birbirleriyle yarış etmeleri ve böbürlenip övünmeleri kıyamet alametlerindendir.) (Dârimi, Salat: 123; İbn Mâce, Mesacid:)",8,2,Sahih,Sahih,Isnaad Sahih
690,690,,8,3,Sahih,Sahih,Sahih - Agreed Upon
691,691,"Peygamber (sallallahü aleyhi ve sellem)’in hanımlarından Meymune (radıyallahü anha)’dan rivâyet edildiğine göre, şöyle diyordu: Rasûlüllah (sallallahü aleyhi ve sellem), Medine’deki Mescidinde kılınan namaz hakkında: Mescidi Haram hariç, benim Mescidimde kılınan namaz, diğer mescidlerde kılınan namazdan bin kat daha faziletlidir derken işittim.) (Müslim, Hac: 93; Müsned:)",8,4,Sahih,Sahih,Sahih
692,692,"Sâlim (radıyallahü anh), babasından aktararak şöyle diyor: sallallahü aleyhi ve sellem) Üsâme b. Zeyd, Bilal ve Osman b. ebi Talha; Kâbe’ye girerek kapıyı kapattılar. Rasûlüllah (sallallahü aleyhi ve sellem) kapıyı açtığı zaman içeriye ilk giren ben oldum. Bilal ile karşılaştım ve: sallallahü aleyhi ve sellem), Kâbe içerisinde namaz kıldı mı?) diye sordum. O da: şu iki yemen sütunu veya sağdaki iki sutun arasında namaz kıldı cevabını verdi. (Muvatta', Hac: 63; Dârimi, Salat:)",8,5,Sahih,Sahih,Sahih - Agreed Upon
693,693,"Abdullah b. Amr (radıyallahü anh)’dan rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: oğlu Süleyman Beyti Makdis’i yapınca Allah’tan üç şey istedi; 1- Doğru ve isabetli hüküm verme yeteneğinin kendisine verilmesini istedi ki bu kendisine verildi. 2- Kendisinden sonra kimseye nasib olmayacak bir saltanat verilmesini istedi, bu da kendisine verildi 3- Mescidin inşaatını bitirdikten sonra bu mescide sadece namaz kılmak için gelen bir kimseyi annesinden yeni doğmuş gibi oradan çıkarmasını niyaz etmişti. (Müsned:)",8,6,Sahih,Sahih,Isnaad Sahih
694,694,"Cühenîlerin azatlı kölelerinden ve Ebû Hureyre’nin de arkadaşlarından Ebû Seleme b. Abdurrahman ile Ebû Abdullah el Eğar (radıyallahü anhüma) anlatıyorlar: Rasûlüllah (sallallahü aleyhi ve sellem) mescidinde kılınan bir namaz; Mescidi Haram hariç diğer mescidlerde kılınan namazlardan bir kat daha hayırlıdır. Çünkü Peygamber (sallallahü aleyhi ve sellem), son Peygamber (sallallahü aleyhi ve sellem) olup, mescidi de mescidlerin sonuncusudur. Ebû Seleme ve Ebû Abdullah derler ki: Ebu Hureyre’nin bu sözleri, Rasûlüllah (sallallahü aleyhi ve sellem)’in sözlerinden aktardığından şüphe etmiyorduk. Ebû Hüreyre’nin söylediği bu hadisin doğru olup olmadığını tesbit etmekten de men olunmuştuk. Nihayet Ebû Hüreyre vefat edince bu hadisi hatırladık ve kendi aramızda Ebû Hüreyre’nin bu hadisi Rasûlüllah (sallallahü aleyhi ve sellem)’den işitip işitmediği konusunu tartışmaya başladık. Böyle birbirimizle tartışırken; Abdullah b. İbrahim b. Karız’ın yanına oturduk ve bu konuyu kendisine aktardık. Abdullah b. İbrahim bize şöyle dedi: Ebû Hüreyre (radıyallahü anh)’den işittim ve şahitlik ederim ki: Ebû Hureyre’den işittiğime göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurmuştu: Peygamberlerin sonuncusuyum, Mescidim de Mescidlerin sonuncusudur.) (Müslim, Hac: 94; İbn Mâce, İkametü’s Salat:)",8,7,Sahih,Sahih,Sahih - Agreed Upon
695,695,"Abdullah b. Zeyd (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: evimle minberimin arası; Cennet bahçelerinden bir bahçedir.) (Buhârî, Fadlı Salati Mescidi Mekke: 5; Müslim, Hac:)",8,8,Sahih,Sahih,
696,696,"Ümmü Seleme (radıyallahü anha)’dan rivâyete göre, Peygamber (sallallahü aleyhi ve sellem) şöyle buyurmuştur: şu minberimin ayakları vasıtasıyle Cennete yükselinir.) (Müsned:)",8,9,Sahih,Sahih,Isnaad Sahih
697,697,"Ebû Said el Hudrî (radıyallahü anh), babasından aktararak şöyle diyor: İki kişi temelleri takva üzere atılan mescid konusunda tartışıyorlardı. Birisi bu Kuba Mescidi’dir derken, diğeri Mescidi Nebevi olduğunu ileri sürdü. Bunun üzerine Rasûlüllah (sallallahü aleyhi ve sellem): mescid işte benim şu mescidimdir) buyurdu. (Müslim, Hac: 96; Tirmizî, Salat:)",8,10,Sahih,Sahih,Isnaad Sahih
698,698,"Abdullah b. Ömer (radıyallahü anh)’den rivâyete göre; Rasûlüllah (sallallahü aleyhi ve sellem) Kuba mescidine bazen yaya bazen de binitli olarak namaz kılmaya gelirdi. (Müslim, Hac: 97; Buhârî, Fad-ı Salati Mescidi Mekke ve Medine:)",8,11,Sahih,Sahih,Sahih - Agreed Upon
699,699,"Ebû Umâme Sehl b. Huneyf (radıyallahü anh) anlatıyor: Babamın bana aktardığına göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurmuştur: evinden çıkar da şu Kuba mescidine gelerek namaz kılarsa, umre sevabına denk sevap kazanır.) (Müslim, Hac: 97; Buhârî, Fadlı Salati Mescidi Mekke ve Medine:)",8,12,Sahih,Sahih,Isnaad Hasan
700,700,,8,13,Sahih,Sahih,Sahih - Agreed Upon
701,701,"Talk b. Ali (radıyallahü anh) anlatıyor: Heyet halinde Rasûlüllah (sallallahü aleyhi ve sellem)’e gelerek O’nun siyasi otoritesini kabul edip O’nunla birlikte namaz kıldık. ve kendisine memleketimizde bir havra olduğunu haber verdik. Abdest suyundan arta kalanını bize hediye etmesini istedik. Bunun üzerine Rasûlüllah (sallallahü aleyhi ve sellem), su getirtti, abdest aldı, suyu çalkalayıp bir kaba döktü. Suyu almamızı emrederek: çıkıp gidin, memleketinize varınca havranızı yıkın, onun yerine bu suyu serpin ve orayı mescid olarak kullanın) buyurdu. Biz de şöyle dedik: Memleketimiz uzak, sıcaklar fazla, bu su buharlaşıp yok olabilir. Bunun üzerine: suyun üzerine su ilave edin, ilave edeceğiniz su onun özelliğini bozmaz) buyurdu. çıktık, memleketimize geldik. Havrayı yıktık ve o yere o suyu serptik ve orayı mescid olarak kullandık, orada ezan okuduk. O Havranın Rahibi Tay kabilesinden birisi idi; bizim okuduğumuz ezanı işitince şöyle dedi: hak bir davettir.) (Daha sonra) Vadinin yamaçlarına doğru yöneldi. Bir daha onu görmedik. (Sadece Nesâi rivâyet etmiştir)",8,14,Sahih Isnaad,Sahih Isnaad,Isnaad Sahih
