hadithnumber,arabicnumber,text,book,hadith,Al-Albani,Muhammad Muhyi Al-Din Abdul Hamid,Shuaib Al Arnaut,Zubair Ali Zai
2165,2165,"حدثنا موسى بن اسماعيل، حدثنا حماد، اخبرنا ثابت البناني، عن انس بن مالك، ان اليهود، كانت اذا حاضت منهم امراة اخرجوها من البيت ولم يواكلوها ولم يشاربوها ولم يجامعوها في البيت فسيل رسول الله صلى الله عليه وسلم عن ذلك فانزل الله تعالى { يسالونك عن المحيض قل هو اذى فاعتزلوا النساء في المحيض } الى اخر الاية فقال رسول الله صلى الله عليه وسلم "" جامعوهن في البيوت واصنعوا كل شىء غير النكاح "" . فقالت اليهود ما يريد هذا الرجل ان يدع شييا من امرنا الا خالفنا فيه . فجاء اسيد بن حضير وعباد بن بشر الى رسول الله صلى الله عليه وسلم فقالا يا رسول الله ان اليهود تقول كذا وكذا افلا ننكحهن في المحيض فتمعر وجه رسول الله صلى الله عليه وسلم حتى ظننا ��ن قد وجد عليهما فخرجا فاستقبلتهما هدية من لبن الى رسول الله صلى الله عليه وسلم فبعث في اثارهما فسقاهما فظننا انه لم يجد عليهما",12,120,Sahih,Sahih,Sahih,
2166,2166,حدثنا مسدد، حدثنا يحيى، عن جابر بن صبح، قال سمعت خلاسا الهجري، قال سمعت عايشة، - رضى الله عنها - تقول كنت انا ورسول الله، صلى الله عليه وسلم نبيت في الشعار الواحد وانا حايض طامث فان اصابه مني شىء غسل مكانه ولم يعده وان اصاب - تعني ثوبه - منه شىء غسل مكانه ولم يعده وصلى فيه,12,121,Sahih,Sahih,Sahih,Hasan
2167,2167,حدثنا محمد بن العلاء، ومسدد، قالا حدثنا حفص، عن الشيباني، عن عبد الله بن شداد، عن خالته، ميمونة بنت الحارث ان رسول الله صلى الله عليه وسلم كان اذا اراد ان يباشر امراة من نسايه وهي حايض امرها ان تتزر ثم يباشرها,12,122,Sahih,Sahih,,Sahih Bukhari (303) Sahih Muslim (293)
2168,2168,"حدثنا مسدد، حدثنا يحيى، عن شعبة، - غيره عن سعيد، - حدثني الحكم، عن عبد الحميد بن عبد الرحمن، عن مقسم، عن ابن عباس، عن النبي صلى الله عليه وسلم في الذي ياتي امراته وهي حايض قال "" يتصدق بدينار او بنصف دينار",12,123,Sahih,Sahih,,Daif
2169,2169,حدثنا عبد السلام بن مطهر، حدثنا جعفر، - يعني ابن سليمان - عن علي بن الحكم البناني، عن ابي الحسن الجزري، عن مقسم، عن ابن عباس، قال اذا اصابها في الدم فدينار واذا اصابها في انقطاع الدم فنصف دينار,12,124,Sahih Muquf,Sahih Muquf,Daif,Daif
2170,2170,"حدثنا اسحاق بن اسماعيل الطالقاني، حدثنا سفيان، عن ابن ابي نجيح، عن مجاهد، عن قزعة، عن ابي سعيد، ذكر ذلك عند النبي صلى الله عليه وسلم - يعني العزل - قال "" فلم يفعل احدكم "" . ولم يقل فلا يفعل احدكم "" فانه ليست من نفس مخلوقة الا الله خالقها "" . قال ابو داود قزعة مولى زياد",12,125,Sahih,Sahih,Sahih,Sahih Muslim (1438)
2171,2171,"حدثنا موسى بن اسماعيل، حدثنا ابان، حدثنا يحيى، ان محمد بن عبد الرحمن بن ثوبان، حدثه ان رفاعة حدثه عن ابي سعيد الخدري، ان رجلا، قال يا رسول الله ان لي جارية وانا اعزل عنها وانا اكره ان تحمل وانا اريد ما يريد الرجال وان اليهود تحدث ان العزل موءودة الصغرى . قال "" كذبت يهود لو اراد الله ان يخلقه ما استطعت ان تصرفه",12,126,Sahih,Sahih,,Daif
2172,2172,"حدثنا القعنبي، عن مالك، عن ربيعة بن ابي عبد الرحمن، عن محمد بن يحيى بن حبان، عن ابن محيريز، قال دخلت المسجد فرايت ابا سعيد الخدري فجلست اليه فسالته عن العزل، فقال ابو سعيد خرجنا مع رسول الله صلى الله عليه وسلم في غزوة بني المصطلق فاصبنا سبيا من سبى العرب فاشتهينا النساء واشتدت علينا العزبة واحببنا الفداء فاردنا ان نعزل ثم قلنا نعزل ورسول الله صلى الله عليه وسلم بين اظهرنا قبل ان نساله عن ذلك فسالناه عن ذلك فقال "" ما عليكم ان لا تفعلوا ما من نسمة كاينة الى يوم القيامة الا وهي كاينة",12,127,Sahih,Sahih,Sahih,Sahih Bukhari (2542) Sahih Muslim (1438)
2173,2173,"حدثنا عثمان بن ابي شيبة، حدثنا الفضل بن دكين، حدثنا زهير، عن ابي الزبير، عن جابر، قال جاء رجل من الانصار الى رسول الله صلى الله عليه وسلم فقال ان لي جارية اطوف عليها وانا اكره ان تحمل . فقال "" اعزل عنها ان شيت فانه سياتيها ما قدر لها "" . قال فلبث الرجل ثم اتاه فقال ان الجارية قد حملت . قال "" قد اخبرتك انه سياتيها ما قدر لها",12,128,Sahih,Sahih,Sahih,Sahih Muslim (1439)
2174,2174,"حدثنا مسدد، حدثنا بشر، حدثنا الجريري، ح وحدثنا مومل، حدثنا اسماعيل، ح وحدثنا موسى، حدثنا حماد، كلهم عن الجريري، عن ابي نضرة، حدثني شيخ، من طفاوة قال تثويت ابا هريرة بالمدينة فلم ار رجلا من اصحاب النبي صلى الله عليه وسلم اشد تشميرا ولا اقوم على ضيف منه فبينما انا عنده يوما وهو على سرير له ومعه كيس فيه حصى او نوى - واسفل منه جارية له سوداء - وهو يسبح بها حتى اذا انفد ما في الكيس القاه اليها فجمعته فاعادته في الكيس فدفعته اليه فقال الا احدثك عني وعن رسول الله صلى الله عليه وسلم قال قلت بلى . قال بينا انا اوعك في المسجد اذ جاء رسول الله صلى الله عليه وسلم حتى دخل المسجد . فقال "" من احس الفتى الدوسي "" . ثلاث مرات . فقال رجل يا رسول الله هو ذا يوعك في جانب المسجد فاقبل يمشي حتى انتهى الى فوضع يده على فقال لي معروفا فنهضت فانطلق يمشي حتى اتى مقامه الذي يصلي فيه فاقبل عليهم ومعه صفان من رجال وصف من نساء او صفان من نساء وصف من رجال فقال "" ان انساني الشيطان شييا من صلاتي فليسبح القوم وليصفق النساء "" . قال فصلى رسول الله صلى الله عليه وسلم ولم ينس من صلاته شييا . فقال "" مجالسكم مجالسكم "" . زاد موسى "" ها هنا "" . ثم حمد الله تعالى واثنى عليه ثم قال "" اما بعد "" . ثم اتفقوا ثم اقبل على الرجال فقال "" هل منكم الرجل اذا اتى اهله فاغلق عليه بابه والقى عليه ستره واستتر بستر الله "" . قالوا نعم . قال "" ثم يجلس بعد ذلك فيقول فعلت كذا فعلت كذا "" . قال فسكتوا قال فاقبل على النساء فقال "" هل منكن من تحدث "" . فسكتن فجثت فتاة - قال مومل في حديثه فتاة كعاب - على احدى ركبتيها وتطاولت لرسول الله صلى الله عليه وسلم ليراها ويسمع كلامها فقالت يا رسول الله انهم ليتحدثون وانهن ليتحدثنه فقال "" هل تدرون ما مثل ذلك "" . فقال "" انما ذلك مثل شيطانة لقيت شيطانا في السكة فقضى منها حاجته والناس ينظرون اليه الا وان طيب الرجال ما ظهر ريحه ولم يظهر لونه الا ان طيب النساء ما ظهر لونه ولم يظهر ريحه "" . قال ابو داود من ها هنا حفظته عن مومل وموسى "" الا لا يفضين رجل الى رجل ولا امراة الى امراة الا الى ولد او والد "" . وذكر ثالثة فانسيتها وهو في حديث مسدد ولكني لم اتقنه كما احب وقال موسى حدثنا حماد عن الجريري عن ابي نضرة عن الطفاوي",12,129,Daif,Daif,Daif,Daif
2175,2175,"حدثنا الحسن بن علي، حدثنا زيد بن الحباب، حدثنا عمار بن رزيق، عن عبد الله بن عيسى، عن عكرمة، عن يحيى بن يعمر، عن ابي هريرة، قال قال رسول الله صلى الله عليه وسلم "" ليس منا من خبب امراة على زوجها او عبدا على سيده",13,1,Sahih,Sahih,Hasan,Isnaad Hasan
2176,2176,"حدثنا القعنبي، عن مالك، عن ابي الزناد، عن الاعرج، عن ابي هريرة، قال قال رسول الله صلى الله عليه وسلم "" لا تسال المراة طلاق اختها لتستفرغ صحفتها ولتنكح فانما لها ما قدر لها",13,2,Sahih,Sahih,Sahih,Sahih Bukhari (6601)
2177,2177,"حدثنا احمد بن يونس، حدثنا معرف، عن محارب، قال قال رسول الله صلى الله عليه وسلم "" ما احل الله شييا ابغض اليه من الطلاق",13,3,Daif,Daif,,Hasan
2178,2178,"حدثنا كثير بن عبيد، حدثنا محمد بن خالد، عن معرف بن واصل، عن محارب بن دثار، عن ابن عمر، عن النبي صلى الله عليه وسلم قال "" ابغض الحلال الى الله تعالى الطلاق",13,4,Daif,Daif,,Isnaad Hasan
2179,2179,"حدثنا القعنبي، عن مالك، عن نافع، عن عبد الله بن عمر، انه طلق امراته وهي حايض على عهد رسول الله صلى الله عليه وسلم فسال عمر بن الخطاب رسول الله صلى الله عليه وسلم عن ذلك فقال رسول الله صلى الله عليه وسلم "" مره فليراجعها ثم ليمسكها حتى تطهر ثم تحيض ثم تطهر ثم ان شاء امسك بعد ذلك وان شاء طلق قبل ان يمس فتلك العدة التي امر الله سبحانه ان تطلق لها النساء",13,5,Sahih,Sahih,Sahih,Sahih Bukhari (5251) Sahih Muslim (1471)
2180,2180,حدثنا قتيبة بن سعيد، حدثنا الليث، عن نافع، ان ابن عمر، طلق امراة له وهي حايض تطليقة بمعنى حديث مالك,13,6,Sahih,Sahih,Sahih,Sahih Bukhari (5332) Sahih Muslim (1471)
2181,2181,"حدثنا عثمان بن ابي شيبة، حدثنا وكيع، عن سفيان، عن محمد بن عبد الرحمن، مولى ال طلحة عن سالم، عن ابن عمر، انه طلق امراته وهي حايض فذكر ذلك عمر للنبي صلى الله عليه وسلم فقال رسول الله صلى الله عليه وسلم "" مره فليراجعها ثم ليطلقها اذا طهرت او وهي حامل",13,7,Sahih,Sahih,Sahih,Sahih Muslim (1471)
2182,2182,"حدثنا احمد بن صالح، حدثنا عنبسة، حدثنا يونس، عن ابن شهاب، اخبرني سالم بن عبد الله، عن ابيه، انه طلق امراته وهي حايض فذكر ذلك عمر لرسول صلى الله عليه وسلم فتغيظ رسول الله صلى الله عليه وسلم ثم قال "" مره فليراجعها ثم ليمسكها حتى تطهر ثم تحيض فتطهر ثم ان شاء طلقها طاهرا قبل ان يمس فذلك الطلاق للعدة كما امر الله عز وجل",13,8,Sahih,Sahih,,Sahih Bukhari (7160) Sahih Muslim (1471)
2183,2183,حدثنا الحسن بن علي، حدثنا عبد الرزاق، اخبرنا معمر، عن ايوب، عن ابن سيرين، اخبرني يونس بن جبير، انه سال ابن عمر فقال كم طلقت امراتك فقال واحدة,13,9,Sahih,Sahih,Sahih,Isnaad Sahih Sahih Bukhari (5333) Sahih Muslim (1471)
2184,2184,"حدثنا القعنبي، حدثنا يزيد، - يعني ابن ابراهيم - عن محمد بن سيرين، حدثني يونس بن جبير، قال سالت عبد الله بن عمر قال قلت رجل طلق امراته وهي حايض . قال تعرف عبد الله بن عمر قلت نعم . قال فان عبد الله بن عمر طلق امراته وهي حايض . فاتى عمر النبي صلى الله عليه وسلم فساله فقال "" مره فليراجعها ثم ليطلقها في قبل عدتها "" . قال قلت فيعتد بها قال فمه ارايت ان عجز واستحمق",13,10,Sahih,Sahih,Sahih,Sahih Bukhari (5333) Sahih Muslim (1471)
2185,2185,"حدثنا احمد بن صالح، حدثنا عبد الرزاق، اخبرنا ابن جريج، اخبرني ابو الزبير، انه سمع عبد الرحمن بن ايمن، مولى عروة يسال ابن عمر وابو الزبير يسمع قال كيف ترى في رجل طلق امراته حايضا قال طلق عبد الله بن عمر امراته وهي حايض على عهد رسول الله صلى الله عليه وسلم فسال عمر رسول الله صلى الله عليه وسلم فقال ان عبد الله بن عمر طلق امراته وهي حايض قال عبد الله فردها على ولم يرها شييا وقال "" اذا طهرت فليطلق او ليمسك "" . قال ابن عمر وقرا النبي صلى الله عليه وسلم { يا ايها النبي اذا طلقتم النساء فطلقوهن } في قبل عدتهن . قال ابو داود روى هذا الحديث عن ابن عمر يونس بن جبير وانس بن سيرين وسعيد بن جبير وزيد بن اسلم وابو الزبير ومنصور عن ابي وايل معناهم كلهم ان النبي صلى الله عليه وسلم امره ان يراجعها حتى تطهر ثم ان شاء طلق وان شاء امسك وكذلك رواه محمد بن عبد الرحمن عن سالم عن ابن عمر واما رواية الزهري عن سالم ونافع عن ابن عمر ان النبي صلى الله عليه وسلم امره ان يراجعها حتى تطهر ثم تحيض ثم تطهر ثم ان شاء طلق وان شاء امسك وروي عن عطاء الخراساني عن الحسن عن ابن عمر نحو رواية نافع والزهري والاحاديث كلها على خلاف ما قال ابو الزبير",13,11,Sahih,Sahih,,Sahih Muslim (1471)
2186,2186,حدثنا بشر بن هلال، ان جعفر بن سليمان، حدثهم عن يزيد الرشك، عن مطرف بن عبد الله، ان عمران بن حصين، سيل عن الرجل، يطلق امراته ثم يقع بها ولم يشهد على طلاقها ولا على رجعتها فقال طلقت لغير سنة . وراجعت لغير سنة اشهد على طلاقها وعلى رجعتها ولا تعد,13,12,Sahih,Sahih,,Isnaad Hasan
2187,2187,حدثنا زهير بن حرب، حدثنا يحيى بن سعيد، حدثنا علي بن المبارك، حدثني يحيى بن ابي كثير، ان عمر بن معتب، اخبره ان ابا حسن مولى بني نوفل اخبره انه، استفتى ابن عباس في مملوك كانت تحته مملوكة فطلقها تطليقتين ثم عتقا بعد ذلك هل يصلح له ان يخطبها قال نعم قضى بذلك رسول الله صلى الله عليه وسلم,13,13,Daif,Daif,Daif,Daif
2188,2188,حدثنا محمد بن المثنى، حدثنا عثمان بن عمر، اخبرنا علي، باسناده ومعناه بلا اخبار قال ابن عباس بقيت لك واحدة قضى به رسول الله صلى الله عليه وسلم . قال ابو داود سمعت احمد بن حنبل قال قال عبد الرزاق قال ابن المبارك لمعمر من ابو الحسن هذا لقد تحمل صخرة عظيمة . قال ابو داود ابو الحسن هذا روى عنه الزهري قال الزهري وكان من الفقهاء روى الزهري عن ابي الحسن احاديث . قال ابو داود ابو الحسن معروف وليس العمل على هذا الحديث,13,14,Daif,Daif,Daif,Daif
2189,2189,"حدثنا محمد بن مسعود، حدثنا ابو عاصم، عن ابن جريج، عن مظاهر، عن القاسم بن محمد، عن عايشة، عن النبي صلى الله عليه وسلم قال "" طلاق الامة تطليقتان وقروها حيضتان "" . قال ابو عاصم حدثني مظاهر حدثني القاسم عن عايشة عن النبي صلى الله عليه وسلم مثله الا انه قال "" وعدتها حيضتان "" . قال ابو داود وهو حديث مجهول",13,15,Daif,Daif,Daif,Daif
2190,2190,"حدثنا مسلم بن ابراهيم، حدثنا هشام، ح وحدثنا ابن الصباح، حدثنا عبد العزيز بن عبد الصمد، قالا حدثنا مطر الوراق، عن عمرو بن شعيب، عن ابيه، عن جده، ان النبي صلى الله عليه وسلم قال "" لا طلاق الا فيما تملك ولا عتق الا فيما تملك ولا بيع الا فيما تملك "" . زاد ابن الصباح "" ولا وفاء نذر الا فيما تملك",13,16,Hasan,Hasan,Hasan Sahih,Isnaad Hasan
2191,2191,"حدثنا محمد بن العلاء، اخبرنا ابو اسامة، عن الوليد بن كثير، حدثني عبد الرحمن بن الحارث، عن عمرو بن شعيب، باسناده ومعناه زاد "" من حلف على معصية فلا يمين له ومن حلف على قطيعة رحم فلا يمين له",13,17,Hasan,Hasan,Hasan,Hasan
2192,2192,"حدثنا ابن السرح، حدثنا ابن وهب، عن يحيى بن عبد الله بن سالم، عن عبد الرحمن بن الحارث المخزومي، عن عمرو بن شعيب، عن ابيه، عن جده، ان النبي صلى الله عليه وسلم قال في هذا الخبر زاد "" ولا نذر الا فيما ابتغي به وجه الله تعالى ذكره",13,18,Hasan,Hasan,Hasan,Hasan
2193,2193,"حدثنا عبيد الله بن سعد الزهري، ان يعقوب بن ابراهيم، حدثهم قال حدثنا ابي، عن ابن اسحاق، عن ثور بن يزيد الحمصي، عن محمد بن عبيد الله بن ابي صالح الذي، كان يسكن ايليا قال خرجت مع عدي بن عدي الكندي حتى قدمنا مكة فبعثني الى صفية بنت شيبة وكانت قد حفظت من عايشة قالت سمعت عايشة تقول سمعت رسول الله صلى الله عليه وسلم يقول "" لا طلاق ولا عتاق في غلاق "" . قال ابو داود الغلاق اظنه في الغضب",13,19,Hasan,Hasan,Daif,Daif
2194,2194,"حدثنا القعنبي، حدثنا عبد العزيز، - يعني ابن محمد - عن عبد الرحمن بن حبيب، عن عطاء بن ابي رباح، عن ابن ماهك، عن ابي هريرة، ان رسول الله صلى الله عليه وسلم قال "" ثلاث جدهن جد وهزلهن جد النكاح والطلاق والرجعة",13,20,Hasan,Hasan,Hasan Lighairihi,Isnaad Hasan
2195,2195,حدثنا احمد بن محمد المروزي، حدثني علي بن حسين بن واقد، عن ابيه، عن يزيد النحوي، عن عكرمة، عن ابن عباس، قال { والمطلقات يتربصن بانفسهن ثلاثة قروء ولا يحل لهن ان يكتمن ما خلق الله في ارحامهن } الاية وذلك ان الرجل كان اذا طلق امراته فهو احق برجعتها وان طلقها ثلاثا فنسخ ذلك وقال { الطلاق مرتان},13,21,Hasan Sahih,Hasan Sahih,Hasan,Isnaad Hasan
2196,2196,"حدثنا احمد بن صالح، حدثنا عبد الرزاق، اخبرنا ابن جريج، اخبرني بعض بني ابي رافع، مولى النبي صلى الله عليه وسلم عن عكرمة مولى ابن عباس عن ابن عباس قال طلق عبد يزيد - ابو ركانة واخوته - ام ركانة ونكح امراة من مزينة فجاءت النبي صلى الله عليه وسلم فقالت ما يغني عني الا كما تغني هذه الشعرة . لشعرة اخذتها من راسها ففرق بيني وبينه فاخذت النبي صلى الله عليه وسلم حمية فدعا بركانة واخوته ثم قال لجلسايه "" اترون فلانا يشبه منه كذا وكذا من عبد يزيد وفلانا يشبه منه - كذا وكذا "" . قالوا نعم . قال النبي صلى الله عليه وسلم لعبد يزيد "" طلقها "" . ففعل ثم قال "" راجع امراتك ام ركانة واخوته "" . فقال اني طلقتها ثلاثا يا رسول الله . قال "" قد علمت راجعها "" . وتلا { يا ايها النبي اذا طلقتم النساء فطلقوهن لعدتهن } . قال ابو داود وحديث نافع بن عجير وعبد الله بن علي بن يزيد بن ركانة عن ابيه عن جده ان ركانة طلق امراته البتة فردها اليه النبي صلى الله عليه وسلم اصح لان ولد الرجل واهله اعلم به ان ركانة انما طلق امراته البتة فجعلها النبي صلى الله عليه وسلم واحدة",13,22,Hasan,Hasan,Daif,Daif
2197,2197,"حدثنا حميد بن مسعدة، حدثنا اسماعيل، اخبرنا ايوب، عن عبد الله بن كثير، عن مجاهد، قال كنت عند ابن عباس فجاء رجل فقال انه طلق امراته ثلاثا . قال فسكت حتى ظننت انه رادها اليه . ثم قال ينطلق احدكم فيركب الحموقة ثم يقول يا ابن عباس يا ابن عباس وان الله قال { ومن يتق الله يجعل له مخرجا } وانك لم تتق الله فلم اجد لك مخرجا عصيت ربك وبانت منك امراتك وان الله قال { يا ايها النبي اذا طلقتم النساء فطلقوهن } في قبل عدتهن . قال ابو داود روى هذا الحديث حميد الاعرج وغيره عن مجاهد عن ابن عباس ورواه شعبة عن عمرو بن مرة عن سعيد بن جبير عن ابن عباس وايوب وابن جريج جميعا عن عكرمة بن خالد عن سعيد بن جبير عن ابن عباس ورواه ابن جريج عن عبد الحميد بن رافع عن عطاء عن ابن عباس ورواه الاعمش عن مالك بن الحارث عن ابن عباس وابن جريج عن عمرو بن دينار عن ابن عباس كلهم قالوا في الطلاق الثلاث انه اجازها قال وبانت منك نحو حديث اسماعيل عن ايوب عن عبد الله بن كثير . قال ابو داود وروى حماد بن زيد عن ايوب عن عكرمة عن ابن عباس اذا قال "" انت طالق ثلاثا "" . بفم واحد فهي واحدة ورواه اسماعيل بن ابراهيم عن ايوب عن عكرمة هذا قوله لم يذكر ابن عباس وجعله قول عكرمة",13,23,Sahih,Sahih,,Isnaad Sahih
2198,2198,وصار قول ابن عباس فيما حدثنا احمد بن صالح، ومحمد بن يحيى، - وهذا حديث احمد - قالا حدثنا عبد الرزاق، عن معمر، عن الزهري، عن ابي سلمة بن عبد الرحمن بن عوف، ومحمد بن عبد الرحمن بن ثوبان، عن محمد بن اياس، ان ابن عباس، وابا، هريرة وعبد الله بن عمرو بن العاص سيلوا عن البكر، يطلقها زوجها ثلاثا فكلهم قالوا لا تحل له حتى تنكح زوجا غيره . قال ابو داود وروى مالك عن يحيى بن سعيد عن بكير بن الاشج عن معاوية بن ابي عياش انه شهد هذه القصة حين جاء محمد بن اياس بن البكير الى ابن الزبير وعاصم بن عمر فسالهما عن ذلك فقالا اذهب الى ابن عباس وابي هريرة فاني تركتهما عند عايشة - رضى الله عنها - ثم ساق هذا الخبر . قال ابو داود وقول ابن عباس هو ان الطلاق الثلاث تبين من زوجها مدخولا بها وغير مدخول بها لا تحل له حتى تنكح زوجا غيره هذا مثل خبر الصرف قال فيه ثم انه رجع عنه يعني ابن عباس,13,24,Sahih,Sahih,Sahih,Sahih
2199,2199,حدثنا محمد بن عبد الملك بن مروان، حدثنا ابو النعمان، حدثنا حماد بن زيد، عن ايوب، عن غير، واحد، عن طاوس، ان رجلا، يقال له ابو الصهباء كان كثير السوال لابن عباس قال اما علمت ان الرجل كان اذا طلق امراته ثلاثا قبل ان يدخل بها جعلوها واحدة على عهد رسول الله صلى الله عليه وسلم وابي بكر وصدرا من امارة عمر قال ابن عباس بلى كان الرجل اذا طلق امراته ثلاثا قبل ان يدخل بها جعلوها واحدة على عهد رسول الله صلى الله عليه وسلم وابي بكر وصدرا من امارة عمر فلما راى الناس قد تتابعوا فيها قال اجيزوهن عليهم,13,25,Daif,Daif,,Daif
2200,2200,حدثنا احمد بن صالح، حدثنا عبد الرزاق، اخبرنا ابن جريج، اخبرني ابن طاوس، عن ابيه، ان ابا الصهباء، قال لابن عباس اتعلم انما كانت الثلاث تجعل واحدة على عهد النبي صلى الله عليه وسلم وابي بكر وثلاثا من امارة عمر قال ابن عباس نعم,13,26,Sahih,Sahih,,Sahih Muslim (1472)
2201,2201,"حدثنا محمد بن كثير، اخبرنا سفيان، حدثني يحيى بن سعيد، عن محمد بن ابراهيم التيمي، عن علقمة بن وقاص الليثي، قال سمعت عمر بن الخطاب، يقول قال رسول الله صلى الله عليه وسلم "" انما الاعمال بالنيات وانما لكل امري ما نوى فمن كانت هجرته الى الله ورسوله فهجرته الى الله ورسوله ومن كانت هجرته لدنيا يصيبها او امراة يتزوجها فهجرته الى ما هاجر اليه",13,27,Sahih,Sahih,Sahih,Sahih Bukhari (1) Sahih Muslim (1907)
2202,2202,حدثنا احمد بن عمرو بن السرح، وسليمان بن داود، قالا اخبرنا ابن وهب، اخبرني يونس، عن ابن شهاب، اخبرني عبد الرحمن بن عبد الله بن كعب بن مالك، ان عبد الله بن كعب، - وكان قايد كعب من بنيه حين عمي - قال سمعت كعب بن مالكفساق قصته في تبوك قال حتى اذا مضت اربعون من الخمسين اذا رسول رسول الله صلى الله عليه وسلم ياتي فقال ان رسول الله صلى الله عليه وسلم يامرك ان تعتزل امراتك . قال فقلت اطلقها ام ماذا افعل قال لا بل اعتزلها فلا تقربنها . فقلت لامراتي الحقي باهلك فكوني عندهم حتى يقضي الله سبحانه في هذا الامر,13,28,Sahih,Sahih,Sahih,Sahih Bukhari (2757) Sahih Muslim (2769)
2203,2203,حدثنا مسدد، حدثنا ابو عوانة، عن الاعمش، عن ابي الضحى، عن مسروق، عن عايشة، قالت خيرنا رسول الله صلى الله عليه وسلم فاخترناه فلم يعد ذلك شييا,13,29,Sahih,Sahih,Sahih,Sahih Bukhari (5262) Sahih Muslim (1477)
2204,2204,حدثنا الحسن بن علي، حدثنا سليمان بن حرب، عن حماد بن زيد، قال قلت لايوب هل تعلم احدا قال بقول الحسن في امرك بيدك . قال لا الا شىء حدثناه قتادة عن كثير مولى ابن سمرة عن ابي سلمة عن ابي هريرة عن النبي صلى الله عليه وسلم بنحوه قال ايوب فقدم علينا كثير فسالته فقال ما حدثت بهذا قط فذكرته لقتادة فقال بلى ولكنه نسي,13,30,Daif,Daif,,Daif
2205,2205,حدثنا مسلم بن ابراهيم، حدثنا هشام، عن قتادة، عن الحسن، في امرك بيدك . قال ثلاث,13,31,Sahih Maqtu,Sahih Maqtu,Sahih,Daif
2206,2206,"حدثنا ابن السرح، وابراهيم بن خالد الكلبي ابو ثور، - في اخرين - قالوا حدثنا محمد بن ادريس الشافعي، حدثني عمي، محمد بن علي بن شافع عن عبد الله بن علي بن السايب، عن نافع بن عجير بن عبد يزيد بن ركانة، ان ركانة بن عبد يزيد، طلق امراته سهيمة البتة فاخبر النبي صلى الله عليه وسلم بذلك وقال والله ما اردت الا واحدة . فقال رسول الله صلى الله عليه وسلم "" والله ما اردت الا واحدة "" . فقال ركانة والله ما اردت الا واحدة . فردها اليه رسول الله صلى الله عليه وسلم فطلقها الثانية في زمان عمر والثالثة في زمان عثمان . قال ابو داود اوله لفظ ابراهيم واخره لفظ ابن السرح",13,32,Daif,Daif,Daif,Isnaad Hasan
2207,2207,حدثنا محمد بن يونس النسايي، ان عبد الله بن الزبير، حدثهم عن محمد بن ادريس، حدثني عمي، محمد بن علي عن ابن السايب، عن نافع بن عجير، عن ركانة بن عبد يزيد، عن النبي صلى الله عليه وسلم بهذا الحديث,13,33,Daif,Daif,Hasan,Hasan
2208,2208,"حدثنا سليمان بن داود العتكي، حدثنا جرير بن حازم، عن الزبير بن سعيد، عن عبد الله بن علي بن يزيد بن ركانة، عن ابيه، عن جده، انه طلق امراته البتة فاتى رسول الله صلى الله عليه وسلم فقال "" ما اردت "" . قال واحدة . قال "" الله "" . قال الله . قال "" هو على ما اردت "" . قال ابو داود وهذا اصح من حديث ابن جريج ان ركانة طلق امراته ثلاثا لانهم اهل بيته وهم اعلم به وحديث ابن جريج رواه عن بعض بني ابي رافع عن عكرمة عن ابن عباس",13,34,Daif,Daif,Daif,Daif
2209,2209,"حدثنا مسلم بن ابراهيم، حدثنا هشام، عن قتادة، عن زرارة بن اوفى، عن ابي هريرة، عن النبي صلى الله عليه وسلم قال "" ان الله تجاوز لامتي عما لم تتكلم به او تعمل به وبما حدثت به انفسها",13,35,Sahih,Sahih,Sahih,Sahih Bukhari (2528) Sahih Muslim (127)
2210,2210,"حدثنا موسى بن اسماعيل، حدثنا حماد، ح وحدثنا ابو كامل، حدثنا عبد الواحد، وخالد الطحان، - المعنى - كلهم عن خالد، عن ابي تميمة الهجيمي، ان رجلا، قال لامراته يا اخية . فقال رسول الله صلى الله عليه وسلم "" اختك هي "" . فكره ذلك ونهى عنه",13,36,Daif,Daif,,Daif
2211,2211,"حدثنا محمد بن ابراهيم البزاز، حدثنا ابو نعيم، حدثنا عبد السلام، - يعني ابن حرب - عن خالد الحذاء، عن ابي تميمة، عن رجل، من قومه انه سمع النبي صلى الله عليه وسلم سمع رجلا، يقول لامراته "" يا اخية "" . فنهاه . قال ابو داود ورواه عبد العزيز بن المختار عن خالد عن ابي عثمان عن ابي تميمة عن النبي صلى الله عليه وسلم ورواه شعبة عن خالد عن رجل عن ابي تميمة عن النبي صلى الله عليه وسلم",13,37,Daif,Daif,,Daif
2212,2212,"حدثنا محمد بن المثنى، حدثنا عبد الوهاب، حدثنا هشام، عن محمد، عن ابي هريرة، عن النبي صلى الله عليه وسلم "" ان ابراهيم صلى الله عليه وسلم لم يكذب قط الا ثلاثا ثنتان في ذات الله تعالى قوله { اني سقيم } وقوله { بل فعله كبيرهم هذا } وبينما هو يسير في ارض جبار من الجبابرة اذ نزل منزلا فاتي الجبار فقيل له انه نزل ها هنا رجل معه امراة هي احسن الناس قال فارسل اليه فساله عنها فقال انها اختي . فلما رجع اليها قال ان هذا سالني عنك فانباته انك اختي وانه ليس اليوم مسلم غيري وغيرك وانك اختي في كتاب الله فلا تكذبيني عنده "" . وساق الحديث . قال ابو داود روى هذا الخبر شعيب بن ابي حمزة عن ابي الزناد عن الاعرج عن ابي هريرة عن النبي صلى الله عليه وسلم نحوه",13,38,Sahih,Sahih,,Sahih
